"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3571","Verify disabled user can login again after re-enabling","staging-webkit","2026-05-10","failed","2026-05-10","","","",""
"","6988","TC_PIM_USER_ADD_002 - Add New User Form Validation - Verify First Name field accepts valid entry","staging-firefox","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","64168","network request is aborted cross-browser","staging-firefox","2026-05-10","failed","2026-05-10","","","",""
"","5679","Enter Key Submission for login page; password field","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","5221","Verify new user login form is enabled by default","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","4740","Verifies Browser Back button discards invalid form data and returns to Employee List","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","4698","Refresh Page After Login","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","5084","Admin cannot add a new employee profile photo if it is too large","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: profile photo validation","","",""
"","4540","Verify Admin Users has access to Admin module","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","4955","Login error message should meet WCAG 2.1 AA accessibility standards","staging-webkit","2026-05-10","passed","2026-05-10","","","",""
"","0","End to End test case of password reset/recovery using forgot password feature","staging-webkit","2026-05-10","skipped","2026-05-10","","","",""
"","5109","TC_PIM_USER_ADD_029 - Form is responsive and usable at Tablet (768×1024)","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: form responsiveness across viewports","","",""
"","12734","lighthouse performance metrics for dashboard page","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","6059","TC_PIM_USER_ADD_029 - Form is responsive and usable at Desktop (1280×800)","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: form responsiveness across viewports","","",""
"","8427","TC_PIM_USER_ADD_029 - Form is responsive and usable at Tablet (768×1024)","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: form responsiveness across viewports","","",""
"","6214","Verify Sub-ordinate Employee User has LIMITED access to Leaves module","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","3079","Verify disabled user session is terminated if already logged in","staging-webkit","2026-05-10","failed","2026-05-10","","","",""
"","10231","Verify Successful creation of add new employee along with login credentials","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee test case that should run in series to avoid duplicate employee ID issue","","",""
"","4860","Verify new user login form is enabled by default but allows user to disable it","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","8986","user can login, see profile button, and logout","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","2046","Security (HTTPS) Protocol Verification of base URL","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","5680","Verify username rejects duplicate user if provided in user form fields","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","5853","Use SPACE BAR Key Submission for login page","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","7889","Admin can add a new employee along with user login. Verify user form being shown","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","5696","TC_PIM_USER_ADD_003 - Add New User Form Validation - Verify Middle Name field accepts valid entry","staging-chrome","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","6013","Admin can add a new employee with a profile photo without size error","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: profile photo validation","","",""
"","1867","Login Page load metrics measurement by using browser events","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","6266","Verify All mandatory fields show Required error when Save is clicked without any input","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","7816","Verify Admin can re-enable a disabled user","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","3249","Verify Admin can re-enable a disabled user","staging-webkit","2026-05-10","failed","2026-05-10","","","",""
"","62675","Refresh Page After Login","staging-webkit","2026-05-10","failed","2026-05-10","","","",""
"","9643","Verify Save and Cancel buttons are hidden while form submission is in progress","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee test case that should run in series to avoid duplicate employee ID issue","","",""
"","5516","Verify user form fields password and confirm passowrd are matching","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","5618","Verify new user login form is enabled by default but allows user to disable it","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","6008","Verify Employee applied leaves shows up in his leave history","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","5567","Verify User Search by Username returns correct record","staging-webkit","2026-05-10","failed","2026-05-10","","","",""
"","13000","lighthouse performance metrics for login page","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","11164","Verify disabled user cannot access any system modules via direct URL","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","2746","Ensure OrangeHRM Logo is being Displayed","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","5578","TC_PIM_USER_ADD_001 - Add New User Form Validation","staging-chrome","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","10222","network request is aborted cross-browser","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","7249","Login with Invalid Username and / or Password","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","3683","Login error message should meet WCAG 2.1 AA accessibility standards","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","5736","TC_PIM_USER_ADD_002 - Add New User Form Validation - Verify First Name field accepts valid entry","staging-chrome","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","63757","Verify ESS Users has NO access to Admin module","staging-firefox","2026-05-10","failed","2026-05-10","","","",""
"","5307","Verify username accepts valid value in user form fields","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","5874","Verifies Browser Back button discards invalid form data and returns to Employee List","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","5494","Verify user error when form fields password and confirm passowrd are not matching","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","64809","Enter Key Submission for login page; login button","staging-webkit","2026-05-10","failed","2026-05-10","","","",""
"","6547","Verify Cancel button discards invalid form data and returns to Employee List","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","5675","Admin can add a new employee with a profile photo without size error","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: profile photo validation","","",""
"","5373","User Session Expired - Re-login enforced on User Action","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","4552","Network Request - Password Encryption","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","64274","Browser Back Button After Login","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","7224","Verify User Search by Username returns correct record","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","5056","Refresh Page After Login","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","6293","User Session Expired - Re-login enforced on User Action","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","70852","Verify Add Employee with credentials succeeds under Slow 3G network conditions","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","10773","Verify Successful creation of add new employee along with login credentials","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee test case that should run in series to avoid duplicate employee ID issue","","",""
"","2929","Verify Supervisor/Manager User has access to Leaves module","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","62782","Browser Back Button After Login","staging-webkit","2026-05-10","failed","2026-05-10","","","",""
"","6469","Verify Admin Users has access to Admin module","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","271168","Verify Employee applied leaves shows up in his leave history","staging-firefox","2026-05-10","broken","2026-05-10","","","",""
"","4032","Login error message should meet WCAG 2.1 AA accessibility standards","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","7885","Verify User Search by Username returns correct record","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","26348","Rate Limiting on Login Attempts - should enforce protection on repeated failed logins","staging-chrome","2026-05-10","passed","2026-05-10","Security: Brute Force Protection","","",""
"","6913","TC_PIM_USER_ADD_004 - Add New User Form Validation - Verify Last Name field accepts valid entry","staging-firefox","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","2167","Security (HTTPS) Protocol Verification of base URL","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","45148","Rate Limiting on Login Attempts - should enforce protection on repeated failed logins","staging-firefox","2026-05-10","passed","2026-05-10","Security: Brute Force Protection","","",""
"","5545","Verifies Password and Confirm Password fields mask input and are not displayed in plain text","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","6486","Verify All mandatory fields show Required error when Save is clicked without any input","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","5420","TC_PIM_USER_ADD_029 - Form is responsive and usable at Desktop (1280×800)","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: form responsiveness across viewports","","",""
"","11840","Login Page load metrics measurement by using browser events","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","3768","Login and Dashboard Page Response Time","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","5111","Login with Disabled User Account","staging-firefox","2026-05-10","failed","2026-05-10","","","",""
"","6766","TC_PIM_USER_ADD_001 - Add New User Form Validation","staging-firefox","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","4887","Verify ESS Users has NO access to Admin module","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","63733","Use SPACE BAR Key Submission for login page","staging-webkit","2026-05-10","failed","2026-05-10","","","",""
"","3029","Verify Supervisor/Manager User has access to Leaves module","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","64858","Browser Back Button After Login","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","5900","Verify new user login form is enabled by default","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","4866","Admin can add a new employee along with user login. Verify user form being shown","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","6124","TC_PIM_USER_ADD_005 - Add New User Form Validation - Verify Employee ID is auto-populated","staging-firefox","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","3776","Verify Case Sensitivity of Password","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","6175","TC_PIM_USER_ADD_007 - Add New User Form Validation - Verify duplicate Employee ID is rejected","staging-chrome","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","3977","Network Request - Password Encryption","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","5192","Verify Cancel button discards invalid form data and returns to Employee List","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","13216","Verify disabled user session is terminated if already logged in","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","5435","TC_PIM_USER_ADD_029 - Form is responsive and usable at Mobile (375×812)","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: form responsiveness across viewports","","",""
"","4992","TC_PIM_USER_ADD_005 - Add New User Form Validation - Verify Employee ID is auto-populated","staging-chrome","2026-05-10","passed","2026-05-10","PIM Module - Add Employee Form Validation","","",""
"","2634","Ensure OrangeHRM Logo is being Displayed","staging-chrome","2026-05-10","passed","2026-05-10","","","",""
"","9496","Verify weekends/invalid leave application is rejected","staging-firefox","2026-05-10","passed","2026-05-10","","","",""
"","6980","Verify username rejects duplicate user if provided in user form fields","staging-firefox","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
"","5770","Verify user form fields are username and password are required","staging-chrome","2026-05-10","passed","2026-05-10","PIM - Add Employee: with new user form validation","","",""
